date and time,Salinity (g/kg)
2012-01-01 00:00:00,          35.28
2012-01-01 02:00:00,          35.28
2012-01-01 04:00:00,        35.2821
2012-01-01 06:00:00,        35.2811
2012-01-01 08:00:00,        35.2802
2012-01-01 10:00:00,        35.2797
2012-01-01 12:00:00,        35.2797
2012-01-01 14:00:00,        35.2798
2012-01-01 16:00:00,        35.2799
2012-01-01 18:00:00,        35.2724
2012-01-01 20:00:00,         35.265
2012-01-01 22:00:00,        35.2661
2012-01-02 00:00:00,        35.2672
2012-01-02 02:00:00,        35.2721
2012-01-02 04:00:00,        35.2775
2012-01-02 06:00:00,        35.2791
2012-01-02 08:00:00,        35.2793
2012-01-02 10:00:00,        35.2791
2012-01-02 12:00:00,        35.2789
2012-01-02 14:00:00,        35.2788
2012-01-02 16:00:00,        35.2788
2012-01-02 18:00:00,        35.2787
2012-01-02 20:00:00,        35.2786
2012-01-02 22:00:00,        35.2787
2012-01-03 00:00:00,        35.2788
2012-01-03 02:00:00,        35.2789
2012-01-03 04:00:00,         35.279
2012-01-03 06:00:00,        35.2788
2012-01-03 08:00:00,        35.2782
2012-01-03 10:00:00,        35.2778
2012-01-03 12:00:00,        35.2777
2012-01-03 14:00:00,        35.2777
2012-01-03 16:00:00,        35.2778
2012-01-03 18:00:00,        35.2776
2012-01-03 20:00:00,        35.2775
2012-01-03 22:00:00,        35.2723
2012-01-04 00:00:00,        35.2656
2012-01-04 02:00:00,        35.2666
2012-01-04 04:00:00,        35.2704
2012-01-04 06:00:00,        35.2706
2012-01-04 08:00:00,         35.269
2012-01-04 10:00:00,         35.268
2012-01-04 12:00:00,        35.2703
2012-01-04 14:00:00,        35.2695
2012-01-04 16:00:00,        35.2691
2012-01-04 18:00:00,        35.2686
2012-01-04 20:00:00,        35.2695
2012-01-04 22:00:00,        35.2631
2012-01-05 00:00:00,         35.223
2012-01-05 02:00:00,        35.2529
2012-01-05 04:00:00,        35.2682
2012-01-05 06:00:00,        35.2496
2012-01-05 08:00:00,        35.2207
2012-01-05 10:00:00,        35.2078
2012-01-05 12:00:00,        35.2134
2012-01-05 14:00:00,        35.0641
2012-01-05 16:00:00,        35.0546
2012-01-05 18:00:00,        35.0751
2012-01-05 20:00:00,        35.0732
2012-01-05 22:00:00,        35.0799
2012-01-06 00:00:00,        35.0899
2012-01-06 02:00:00,        35.0877
2012-01-06 04:00:00,        35.0791
2012-01-06 06:00:00,        35.0796
2012-01-06 08:00:00,        35.0835
2012-01-06 10:00:00,        35.0841
2012-01-06 12:00:00,        35.0868
2012-01-06 14:00:00,        35.1018
2012-01-06 16:00:00,        35.1034
2012-01-06 18:00:00,        35.0993
2012-01-06 20:00:00,        35.0976
2012-01-06 22:00:00,        35.0978
2012-01-07 00:00:00,        35.0961
2012-01-07 02:00:00,        35.0803
2012-01-07 04:00:00,        35.0836
2012-01-07 06:00:00,        35.0868
2012-01-07 08:00:00,        35.0925
2012-01-07 10:00:00,        35.0975
2012-01-07 12:00:00,         35.099
2012-01-07 14:00:00,        35.0973
2012-01-07 16:00:00,        35.1019
2012-01-07 18:00:00,        35.1015
2012-01-07 20:00:00,        35.1003
2012-01-07 22:00:00,        35.0999
2012-01-08 00:00:00,         35.099
2012-01-08 02:00:00,        35.0991
2012-01-08 04:00:00,        35.1079
2012-01-08 06:00:00,        35.1053
2012-01-08 08:00:00,        35.0999
2012-01-08 10:00:00,        35.0971
